Index,YY,MM,DD,H,H_Price
5,2013,1,25,4,30
6,2013,1,25,5,30
7,2013,1,25,6,45
8,2013,1,25,7,61
9,2013,1,25,8,74
10,2013,1,25,9,62
11,2013,1,25,10,62
12,2013,1,25,11,62
13,2013,1,25,12,62
14,2013,1,25,13,62
15,2013,1,25,14,62
16,2013,1,25,15,62
17,2013,1,25,16,62
18,2013,1,25,17,74
19,2013,1,25,18,62
20,2013,1,25,19,58
21,2013,1,25,20,57
22,2013,1,25,21,57
23,2013,1,25,22,29
24,2013,1,25,23,29
1,2013,1,26,0,29
2,2013,1,26,1,29
3,2013,1,26,2,30
4,2013,1,26,3,30
5,2013,1,26,4,32
6,2013,1,26,5,29
7,2013,1,26,6,35
8,2013,1,26,7,49
9,2013,1,26,8,49
10,2013,1,26,9,50
11,2013,1,26,10,50
12,2013,1,26,11,50
13,2013,1,26,12,50
14,2013,1,26,13,50
15,2013,1,26,14,50
16,2013,1,26,15,50
17,2013,1,26,16,49
18,2013,1,26,17,49
19,2013,1,26,18,50
20,2013,1,26,19,49
21,2013,1,26,20,49
22,2013,1,26,21,28
23,2013,1,26,22,28
24,2013,1,26,23,29
1,2013,1,27,0,29
2,2013,1,27,1,26
3,2013,1,27,2,32
4,2013,1,27,3,28
5,2013,1,27,4,25
6,2013,1,27,5,26
7,2013,1,27,6,15
8,2013,1,27,7,41
9,2013,1,27,8,41
10,2013,1,27,9,48
11,2013,1,27,10,48
12,2013,1,27,11,48
13,2013,1,27,12,48
14,2013,1,27,13,48
15,2013,1,27,14,48
16,2013,1,27,15,48
17,2013,1,27,16,48
18,2013,1,27,17,48
19,2013,1,27,18,48
20,2013,1,27,19,48
21,2013,1,27,20,48
22,2013,1,27,21,28
23,2013,1,27,22,28
24,2013,1,27,23,28
1,2013,1,28,0,32
2,2013,1,28,1,25
3,2013,1,28,2,25
4,2013,1,28,3,25
5,2013,1,28,4,25
6,2013,1,28,5,25
7,2013,1,28,6,25
8,2013,1,28,7,48
9,2013,1,28,8,48
10,2013,1,28,9,49
11,2013,1,28,10,49
12,2013,1,28,11,49
13,2013,1,28,12,49
14,2013,1,28,13,49
15,2013,1,28,14,49
16,2013,1,28,15,49
17,2013,1,28,16,49
18,2013,1,28,17,49
19,2013,1,28,18,50
20,2013,1,28,19,49
21,2013,1,28,20,49
22,2013,1,28,21,27
23,2013,1,28,22,27
24,2013,1,28,23,34
1,2013,1,29,0,32
2,2013,1,29,1,34
3,2013,1,29,2,34
4,2013,1,29,3,34
5,2013,1,29,4,34
6,2013,1,29,5,44
7,2013,1,29,6,49
8,2013,1,29,7,49
9,2013,1,29,8,55
10,2013,1,29,9,55
11,2013,1,29,10,50
12,2013,1,29,11,49
13,2013,1,29,12,49
14,2013,1,29,13,49
15,2013,1,29,14,49
16,2013,1,29,15,49
17,2013,1,29,16,49
18,2013,1,29,17,49
19,2013,1,29,18,49
20,2013,1,29,19,49
21,2013,1,29,20,48
22,2013,1,29,21,49
23,2013,1,29,22,34
24,2013,1,29,23,27
1,2013,1,30,0,32
2,2013,1,30,1,32
3,2013,1,30,2,32
4,2013,1,30,3,32
5,2013,1,30,4,32
6,2013,1,30,5,27
7,2013,1,30,6,44
8,2013,1,30,7,49
9,2013,1,30,8,55
10,2013,1,30,9,50
11,2013,1,30,10,49
12,2013,1,30,11,49
13,2013,1,30,12,49
14,2013,1,30,13,49
15,2013,1,30,14,48
16,2013,1,30,15,49
17,2013,1,30,16,49
18,2013,1,30,17,49
19,2013,1,30,18,49
20,2013,1,30,19,49
21,2013,1,30,20,48
22,2013,1,30,21,48
23,2013,1,30,22,44
24,2013,1,30,23,34
1,2013,1,31,0,32
2,2013,1,31,1,25
3,2013,1,31,2,28
4,2013,1,31,3,27
5,2013,1,31,4,19
6,2013,1,31,5,32
7,2013,1,31,6,30
8,2013,1,31,7,44
9,2013,1,31,8,49
10,2013,1,31,9,52
11,2013,1,31,10,52
12,2013,1,31,11,52
13,2013,1,31,12,52
14,2013,1,31,13,52
15,2013,1,31,14,52
16,2013,1,31,15,52
17,2013,1,31,16,52
18,2013,1,31,17,52
19,2013,1,31,18,49
20,2013,1,31,19,49
21,2013,1,31,20,48
22,2013,1,31,21,15
23,2013,1,31,22,27
24,2013,1,31,23,26
1,2013,2,1,0,27
2,2013,2,1,1,26
3,2013,2,1,2,25
4,2013,2,1,3,26
5,2013,2,1,4,27
6,2013,2,1,5,26
7,2013,2,1,6,37
8,2013,2,1,7,47
9,2013,2,1,8,47
10,2013,2,1,9,47
11,2013,2,1,10,47
12,2013,2,1,11,47
13,2013,2,1,12,47
14,2013,2,1,13,47
15,2013,2,1,14,48
16,2013,2,1,15,48
17,2013,2,1,16,48
18,2013,2,1,17,48
19,2013,2,1,18,49
20,2013,2,1,19,53
21,2013,2,1,20,52
22,2013,2,1,21,55
23,2013,2,1,22,55
24,2013,2,1,23,61
1,2013,2,2,0,57
2,2013,2,2,1,52
3,2013,2,2,2,52
4,2013,2,2,3,53
5,2013,2,2,4,55
6,2013,2,2,5,42
7,2013,2,2,6,49
8,2013,2,2,7,48
9,2013,2,2,8,49
10,2013,2,2,9,52
11,2013,2,2,10,53
12,2013,2,2,11,53
13,2013,2,2,12,54
14,2013,2,2,13,54
15,2013,2,2,14,55
16,2013,2,2,15,55
17,2013,2,2,16,55
18,2013,2,2,17,57
19,2013,2,2,18,57
20,2013,2,2,19,55
21,2013,2,2,20,55
22,2013,2,2,21,55
23,2013,2,2,22,55
24,2013,2,2,23,55
1,2013,2,3,0,55
2,2013,2,3,1,37
3,2013,2,3,2,37
4,2013,2,3,3,37
5,2013,2,3,4,37
6,2013,2,3,5,40
7,2013,2,3,6,46
8,2013,2,3,7,46
9,2013,2,3,8,46
10,2013,2,3,9,46
11,2013,2,3,10,46
12,2013,2,3,11,46
13,2013,2,3,12,46
14,2013,2,3,13,46
15,2013,2,3,14,46
16,2013,2,3,15,46
17,2013,2,3,16,47
18,2013,2,3,17,47
19,2013,2,3,18,47
20,2013,2,3,19,48
21,2013,2,3,20,48
22,2013,2,3,21,49
23,2013,2,3,22,49
24,2013,2,3,23,42
1,2013,2,4,0,40
2,2013,2,4,1,55
3,2013,2,4,2,55
4,2013,2,4,3,54
5,2013,2,4,4,53
6,2013,2,4,5,55
7,2013,2,4,6,54
8,2013,2,4,7,58
9,2013,2,4,8,58
10,2013,2,4,9,58
11,2013,2,4,10,57
12,2013,2,4,11,55
13,2013,2,4,12,53
14,2013,2,4,13,50
15,2013,2,4,14,49
16,2013,2,4,15,48
17,2013,2,4,16,47
18,2013,2,4,17,47
19,2013,2,4,18,47
20,2013,2,4,19,46
21,2013,2,4,20,48
22,2013,2,4,21,46
23,2013,2,4,22,41
24,2013,2,4,23,40
1,2013,2,5,0,40
2,2013,2,5,1,28
3,2013,2,5,2,28
4,2013,2,5,3,28
5,2013,2,5,4,28
6,2013,2,5,5,14
7,2013,2,5,6,15
8,2013,2,5,7,45
9,2013,2,5,8,45
10,2013,2,5,9,46
11,2013,2,5,10,46
12,2013,2,5,11,46
13,2013,2,5,12,46
14,2013,2,5,13,46
15,2013,2,5,14,46
16,2013,2,5,15,46
17,2013,2,5,16,46
18,2013,2,5,17,46
19,2013,2,5,18,46
20,2013,2,5,19,46
21,2013,2,5,20,48
22,2013,2,5,21,46
23,2013,2,5,22,40
24,2013,2,5,23,40
1,2013,2,6,0,28
2,2013,2,6,1,40
3,2013,2,6,2,40
4,2013,2,6,3,40
5,2013,2,6,4,40
6,2013,2,6,5,40
7,2013,2,6,6,46
8,2013,2,6,7,46
9,2013,2,6,8,46
10,2013,2,6,9,46
11,2013,2,6,10,46
12,2013,2,6,11,46
13,2013,2,6,12,46
14,2013,2,6,13,46
15,2013,2,6,14,46
16,2013,2,6,15,46
17,2013,2,6,16,46
18,2013,2,6,17,46
19,2013,2,6,18,46
20,2013,2,6,19,46
21,2013,2,6,20,46
22,2013,2,6,21,46
23,2013,2,6,22,41
24,2013,2,6,23,40
1,2013,2,7,0,40
2,2013,2,7,1,40
3,2013,2,7,2,40
4,2013,2,7,3,40
5,2013,2,7,4,41
6,2013,2,7,5,41
7,2013,2,7,6,47
8,2013,2,7,7,47
9,2013,2,7,8,47
10,2013,2,7,9,48
11,2013,2,7,10,49
12,2013,2,7,11,49
13,2013,2,7,12,49
14,2013,2,7,13,49
15,2013,2,7,14,49
16,2013,2,7,15,49
17,2013,2,7,16,48
18,2013,2,7,17,48
19,2013,2,7,18,47
20,2013,2,7,19,47
21,2013,2,7,20,47
22,2013,2,7,21,47
23,2013,2,7,22,42
24,2013,2,7,23,40
1,2013,2,8,0,40
2,2013,2,8,1,40
3,2013,2,8,2,40
4,2013,2,8,3,40
5,2013,2,8,4,40
6,2013,2,8,5,40
7,2013,2,8,6,46
8,2013,2,8,7,46
9,2013,2,8,8,46
10,2013,2,8,9,46
11,2013,2,8,10,47
12,2013,2,8,11,47
13,2013,2,8,12,47
14,2013,2,8,13,47
15,2013,2,8,14,47
16,2013,2,8,15,47
17,2013,2,8,16,47
18,2013,2,8,17,47
19,2013,2,8,18,47
20,2013,2,8,19,47
21,2013,2,8,20,47
22,2013,2,8,21,47
23,2013,2,8,22,41
24,2013,2,8,23,41
1,2013,2,9,0,37
2,2013,2,9,1,40
3,2013,2,9,2,40
4,2013,2,9,3,40
5,2013,2,9,4,40
6,2013,2,9,5,40
7,2013,2,9,6,45
8,2013,2,9,7,45
9,2013,2,9,8,45
10,2013,2,9,9,45
11,2013,2,9,10,45
12,2013,2,9,11,45
13,2013,2,9,12,45
14,2013,2,9,13,45
15,2013,2,9,14,45
16,2013,2,9,15,45
17,2013,2,9,16,45
18,2013,2,9,17,45
19,2013,2,9,18,45
20,2013,2,9,19,45
21,2013,2,9,20,45
22,2013,2,9,21,45
23,2013,2,9,22,37
24,2013,2,9,23,36
1,2013,2,10,0,40
2,2013,2,10,1,36
3,2013,2,10,2,36
4,2013,2,10,3,36
5,2013,2,10,4,36
6,2013,2,10,5,36
7,2013,2,10,6,42
8,2013,2,10,7,42
9,2013,2,10,8,42
10,2013,2,10,9,42
11,2013,2,10,10,42
12,2013,2,10,11,42
13,2013,2,10,12,42
14,2013,2,10,13,42
15,2013,2,10,14,42
16,2013,2,10,15,42
17,2013,2,10,16,42
18,2013,2,10,17,42
19,2013,2,10,18,42
20,2013,2,10,19,42
21,2013,2,10,20,42
22,2013,2,10,21,42
23,2013,2,10,22,37
24,2013,2,10,23,36
1,2013,2,11,0,36
2,2013,2,11,1,40
3,2013,2,11,2,40
4,2013,2,11,3,40
5,2013,2,11,4,40
6,2013,2,11,5,40
7,2013,2,11,6,46
8,2013,2,11,7,46
9,2013,2,11,8,47
10,2013,2,11,9,47
11,2013,2,11,10,47
12,2013,2,11,11,47
13,2013,2,11,12,47
14,2013,2,11,13,47
15,2013,2,11,14,47
16,2013,2,11,15,47
17,2013,2,11,16,47
18,2013,2,11,17,47
19,2013,2,11,18,47
20,2013,2,11,19,46
21,2013,2,11,20,46
22,2013,2,11,21,46
23,2013,2,11,22,40
24,2013,2,11,23,40
1,2013,2,12,0,40
2,2013,2,12,1,40
3,2013,2,12,2,40
4,2013,2,12,3,40
5,2013,2,12,4,40
6,2013,2,12,5,40
7,2013,2,12,6,46
8,2013,2,12,7,46
9,2013,2,12,8,46
10,2013,2,12,9,46
11,2013,2,12,10,46
12,2013,2,12,11,46
13,2013,2,12,12,46
14,2013,2,12,13,46
15,2013,2,12,14,46
16,2013,2,12,15,46
17,2013,2,12,16,46
18,2013,2,12,17,46
19,2013,2,12,18,46
20,2013,2,12,19,46
21,2013,2,12,20,46
22,2013,2,12,21,46
23,2013,2,12,22,40
24,2013,2,12,23,40
1,2013,2,13,0,40
2,2013,2,13,1,40
3,2013,2,13,2,40
4,2013,2,13,3,40
5,2013,2,13,4,40
6,2013,2,13,5,40
7,2013,2,13,6,46
8,2013,2,13,7,48
9,2013,2,13,8,48
10,2013,2,13,9,48
11,2013,2,13,10,48
12,2013,2,13,11,48
13,2013,2,13,12,48
14,2013,2,13,13,48
15,2013,2,13,14,48
16,2013,2,13,15,48
17,2013,2,13,16,48
18,2013,2,13,17,48
19,2013,2,13,18,48
20,2013,2,13,19,48
21,2013,2,13,20,48
22,2013,2,13,21,46
23,2013,2,13,22,40
24,2013,2,13,23,40
1,2013,2,14,0,40
2,2013,2,14,1,40
3,2013,2,14,2,40
4,2013,2,14,3,40
5,2013,2,14,4,40
6,2013,2,14,5,40
7,2013,2,14,6,48
8,2013,2,14,7,48
9,2013,2,14,8,48
10,2013,2,14,9,49
11,2013,2,14,10,49
12,2013,2,14,11,48
13,2013,2,14,12,48
14,2013,2,14,13,48
15,2013,2,14,14,48
16,2013,2,14,15,48
